accession,secondary_accession,bioproject,study_name,body_sites,samples_count,biome_lineages,centre_name,last_update
MGYS00006288,ERP136881,PRJEB52183,Effects of postage on recovery of pathogens from cystic fibrosis respiratory samples,respiratory,184,root:Host-associated:Human:Respiratory system:Pulmonary system:Sputum,Manchester Metropolitan University,2023-09-01T17:43:16
MGYS00001985,ERP104047,PRJEB22368,EMG produced TPA metagenomics assembly of the Human Gut Microbiome in a Multiplex Family Study of Type 1 Diabetes Mellitus (human gut metagenome) data set,gut,184,root:Host-associated:Human:Digestive system|root:Host-associated:Human:Digestive system:Large intestine:Fecal,EMBL-EBI,2021-10-18T13:28:35
MGYS00006481,SRP108364,PRJNA388464,Mouse Lung Microbiome Heterogeneity Across Vendors,respiratory,183,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,University of Michigan,2023-09-12T02:39:12
MGYS00006485,SRP077299,PRJNA305936,Host Immune Response and Mortality Risk are  Related to Distinct Lung Microbiomes in  HIV-Pneumonia Patients,respiratory,182,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,University of California San Francisco,2023-09-27T08:59:48
MGYS00006275,ERP124015,PRJEB40386,nfection and rejection are the two most common complications after lung transplantation (LTx) and are associated with increased morbidity and mortality. We aimed to examine the association between airway microbiota and infection and rejection in lung transplant recipients (LTRs).,respiratory,181,root:Host-associated:Human:Respiratory system:Pulmonary system:Sputum,Southern Medical University,2023-09-01T16:30:17
MGYS00006454,SRP378933,PRJNA820972,"16S-based bacterial profiling of the microbiota associated with the bronchoalveolar lavage fluid of patients with COPD, healthy smokers and healthy controls. Targeted loci",respiratory,181,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,Telethon Kids Institute,2023-09-06T12:10:55
MGYS00006348,SRP282889,PRJNA664034,human lung metagenome Raw sequence reads,respiratory,179,root:Host-associated:Human:Respiratory system:Pulmonary system:Sputum,Universita degli studi di Milano,2023-09-02T02:25:28
MGYS00005102,ERP108413,PRJEB26427,Understanding the microbial basis of body odor in teenagers and kids,skin,179,root:Host-associated:Human:Skin,P&G Singapore Innovation Center,2020-02-07T20:22:49
MGYS00006120,SRP115494,PRJNA398089,Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease,gut,176,root:Host-associated:Human:Digestive system:Large intestine:Fecal,Harvard T.H. Chan School of Public Health,2023-03-09T10:35:56
MGYS00005386,ERP116476,PRJEB33666,EMG produced TPA metagenomics assembly of the PRJEB26427 data set (Understanding the microbial basis of body odor in teenagers and kids).,skin,175,root:Host-associated:Human:Skin,EMG,2020-05-21T05:55:45
MGYS00006797,ERP147940,PRJEB62820,EMG produced TPA metagenomics assembly of PRJEB47976 data set (Alzheimer signature in intestinal microbiome: Results from the AlzBiom study.).,gut,175,root:Host-associated:Human:Digestive system:Large intestine:Fecal,EMG,2025-04-09T12:11:43
MGYS00002396,DRP002688,PRJDB3518,Oral bacterial 16S rRNA-V4 sequencing of three Japanese adults sampled in multiple time points during a day,oral,170,root:Host-associated:Human:Digestive system:Oral:Supragingival plaque,TOHOKU,2018-06-08T11:50:04
MGYS00006531,SRP314565,PRJNA720544,SARS-CoV-2 genome sequencing and assembly from COVID-19 autopsy tissue specimens,respiratory,169,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,Broad Institute,2023-10-09T12:49:51
MGYS00006272,ERP117623,PRJEB34684,Low IgA associated with oropharyngeal microbiota changes and lung disease in primary antibody deficiency,respiratory,168,root:Host-associated:Human:Respiratory system:Nasopharyngeal:Pharynx,UMC Utrecht,2023-08-02T19:10:01
MGYS00006368,SRP043334,PRJNA252825,Human airway Targeted Locus (Loci),respiratory,168,root:Host-associated:Human:Respiratory system:Pulmonary system:Sputum,University of Colorado,2023-09-02T21:08:18
MGYS00006220,SRP347452,PRJNA781978,Microbiota Brain Axis in Alzheimers Disease MIND Diet Induced Effects,gut,167,root:Host-associated:Human:Digestive system:Large intestine:Fecal,Rush University,2023-07-18T11:40:31
MGYS00006451,SRP247553,PRJNA605315,Bacterial microbiome of sputum samples from patients with bronchiectasis recruited in stable state,respiratory,167,root:Host-associated:Human:Respiratory system:Pulmonary system:Sputum,Universita degli studi di Milano,2023-09-06T11:18:52
MGYS00001803,ERP022894,PRJEB20721,"Low FODMAP diet and probiotics in irritable bowel syndrome: a 2x2 factorial design, randomised, placebo-controlled trial",gut,167,root:Host-associated:Human:Digestive system:Large intestine:Fecal,FONDAZIONE EDMUND MACH,2017-06-12T13:48:04
MGYS00006452,SRP072013,PRJNA311065,The respiratory tract microbiome in children with Cystic Fibrosis,respiratory,166,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,McDonnell Genome Institute - Washington University School of Medicine,2023-09-06T11:17:47
MGYS00002216,SRP013615,PRJNA167398,Effect of oral immunization with the Ty21a typhoid vaccine on local and systemic immune responses and the gut microbiota in adults,gut,162,root:Host-associated:Human:Digestive system:Large intestine:Fecal,UMIGS,2018-02-14T13:47:08
MGYS00002256,SRP035877,PRJNA236367,"Omnivorous, vegetarian and vegan saliva Targeted Locus (Loci)",oral,161,root:Host-associated:Human:Digestive system:Oral:Saliva,univ. di napoli federico II - dipartimento di agraria,2019-11-07T16:55:14
MGYS00006527,SRP216282,PRJNA555084,Augmentation of Standard Clinical Microbiological Culture with Next Generation Sequencing Improves Diagnosis in Bronchoalveolar Lavage Specimens,respiratory,160,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,University of Washington,2023-09-26T09:54:58
MGYS00005592,ERP119456,PRJEB36291,Defining the oral microbiome by Whole Genome Sequencing and resistome analysis: the complexity of the healthy picture,oral,160,root:Host-associated:Human:Digestive system:Oral,UNIVERSITA' DEGLI STUDI DI FERRARA,2020-08-20T23:43:34
MGYS00006364,ERP134534,PRJEB49987,EMG produced TPA metagenomics assembly of PRJEB36291 data set (Defining the oral microbiome by Whole Genome Sequencing and resistome analysis: the complexity of the healthy picture).,oral,160,root:Host-associated:Human:Digestive system:Oral,EMG,2024-03-28T09:36:00
MGYS00006495,SRP119252,PRJNA397867,Homo sapiens Raw sequence reads,respiratory,159,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,New York University School of Medicine,2023-09-25T12:38:51
MGYS00001279,ERP012549,PRJEB11199,Microbiota composition in Anorexia Nervosa patients before and after weight gain as compared to healthy controls,gut,158,root:Host-associated:Human:Digestive system:Large intestine:Fecal,MUMC,2016-10-21T14:05:15
MGYS00005742,DRP004306,PRJDB5860,Asian Microbiome Project,gut,158,root:Host-associated:Human:Digestive system:Large intestine:Fecal,"Lab. of Microbial Technology, Faculty of Agriculture, Kyushu University",2021-06-07T13:48:32
MGYS00006294,SRP254143,PRJNA615630,Lung microbiota in healthy lung transplant recipients,respiratory,158,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,University of Michigan,2023-09-01T23:43:25
MGYS00006511,SRP179511,PRJNA515255,Lung microbiota contribute to pulmonary inflammation and disease progression in pulmonary fibrosis,respiratory,158,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,University of Michigan,2023-09-25T17:39:17
MGYS00001212,SRP076281,PRJNA324825,A Longitudinal Study of Pediatric Subjects with Newly Diagnosed Inflammatory Bowel Disease,gut,158,root:Host-associated:Human:Digestive system:Large intestine:Fecal,Emory University,2019-11-07T16:53:00
MGYS00000942,ERP008640,PRJEB7703,The vaginal microbiome during pregnancy and the postpartum period in a European population.,urogenital,157,root:Host-associated:Human:Reproductive system:Vagina,CUSB-HM,2016-05-16T11:45:05
MGYS00001252,SRP067761,PRJNA306884,Managing human microbiomes: Explaining heterogeneous responses in butyrate to dietary supplementation with resistant starch,gut,157,root:Host-associated:Human:Digestive system:Large intestine:Fecal,University of Michigan,2016-10-04T16:29:21
MGYS00006396,SRP351044,PRJNA788785,Lung transplant microbiome,respiratory,156,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,Perelman School of Medicine at the University of Pennsylvania,2023-09-03T02:39:57
MGYS00002430,ERP107085,PRJEB25190,EMG produced TPA metagenomics assembly of the Gut microbiome development along the colorectal adenoma-carcinoma sequence (AT_CRC) data set.,gut,156,root:Host-associated:Human:Digestive system:Large intestine:Fecal,EMBL-EBI,2018-06-19T10:54:13
MGYS00001982,ERP104041,PRJEB22362,EMG produced TPA metagenomics assembly of the stool samples Raw sequence reads (stool) data set,gut,154,root:Host-associated:Human:Digestive system|root:Host-associated:Human:Digestive system:Large intestine:Fecal,EMBL-EBI,2020-05-17T23:37:55
MGYS00006482,SRP109319,PRJNA390681,microbial diversity in human respiratory tract,respiratory,152,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,"WeHealthGene Co., Ltd.",2023-09-12T08:35:36
MGYS00002174,SRP050141,PRJNA248613,Human oral microbiota in periodontitis and health,oral,150,root:Host-associated:Human:Digestive system:Oral,Shanghai Jiao Tong University,2019-11-07T16:53:58
MGYS00006399,SRP359154,PRJNA805069,Gut microbial signature in lung cancer patients highlights specific taxa as predictors for durable clinical benefit,gut,149,root:Host-associated:Human:Digestive system:Large intestine:Fecal,"Sheba Medical Center, Tel-Hashomer, Israel.",2023-09-03T03:10:49
MGYS00001650,ERP004264,PRJEB4927,Alterations of the Fecal Microbiome in Parkinson's Disease,gut,148,root:Host-associated:Human:Digestive system:Large intestine:Fecal,UH/IB,2017-03-24T16:27:56
MGYS00002269,SRP062274,PRJNA289294,Subgingival microbiome Metagenome,oral,147,root:Host-associated:Human:Digestive system:Oral:Subgingival plaque,Academic Centre for Dentistry Amsterdam,2019-11-07T16:55:48
MGYS00000322,ERP002469,PRJEB1786,"Gut metagenome in European women with normal, impaired and diabetic glucose control",gut,145,root:Host-associated:Human:Digestive system:Large intestine:Fecal,CHALMERS,2016-01-20T14:12:06
MGYS00000583,SRP058922,PRJNA285477,The oral microbiome in HIV infected individuals,oral,144,root:Host-associated:Human:Digestive system:Oral,Queen Mary University of London,2016-01-20T14:12:06
MGYS00005573,ERP122783,PRJEB39283,EMG produced TPA metagenomics assembly of PRJNA415710 data set (Elucidating the dandruff and non-dandruff scalp microbiome in Indian women and assessing the effect of coconut oil on it).,skin,143,root:Host-associated:Human:Skin,EMG,2020-08-04T17:41:33
MGYS00005574,SRP121403,PRJNA415710,Elucidating the dandruff and non-dandruff scalp microbiome in Indian women and assessing the effect of coconut oil on it,skin,142,root:Host-associated:Human:Skin,"Indian Institute of Science Education and Research, Bhopal",2020-08-04T13:21:50
MGYS00002267,SRP056328,PRJNA278076,Human Oral Swabs Raw sequence reads,oral,140,root:Host-associated:Human:Digestive system:Oral,Children's National Medical Center,2019-11-07T16:54:43
MGYS00006356,SRP293286,PRJNA679593,Bronchiectasis lung microbiome,respiratory,139,root:Host-associated:Human:Respiratory system:Pulmonary system:Sputum,University of Dundee,2023-09-02T04:43:37
MGYS00006381,SRP326288,PRJNA742244,Airway microbiomes from Portuguese patients with chronic lung disorders,respiratory,137,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,George Washington University,2023-09-02T23:22:04
MGYS00002361,SRP126531,PRJNA421776,Exercise frequency is associated with the oral microbiota of student athletes and non-athletes,oral,136,root:Host-associated:Human:Digestive system:Oral:Saliva,University of Wisconsin-Madison,2019-11-07T16:55:32
MGYS00006786,ERP147955,PRJEB62833,"EMG produced TPA metagenomics assembly of PRJEB50505 data set (Effect of a dairy-based product on sleep quality, stress, and gut-microbiota analyzed using shotgun metagenomics).",gut,134,root:Host-associated:Human:Digestive system:Large intestine:Fecal,EMG,2025-03-18T17:03:02
MGYS00006023,SRP350207,PRJNA787810,Observational Study on the Diagnostic Evaluation of the Intestinal Microbiota of Patients With COVID-19. (EDIFICE),gut,131,root:Host-associated:Human:Digestive system:Large intestine:Fecal,Luxia Scientific,2024-01-04T11:43:42
MGYS00006512,SRP180208,PRJNA515279,"Lung microbiota contribute to pulmonary inflammation and disease progression in pulmonary fibrosis, part 2",respiratory,130,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,University of Michigan,2023-09-25T17:40:33
MGYS00002415,ERP106599,PRJEB24748,EMG produced TPA metagenomics assembly of the Metagenomic analysis of fecal microbiome as a tool towards targeted non-invasive biomarkers for colorectal cancer (Metagenomic analysis of fecal microbiome as a tool towards targeted non-invasive biomarkers for colorectal cancer) data set.,gut,128,root:Host-associated:Human:Digestive system:Large intestine:Fecal,EMBL-EBI,2018-06-13T09:23:32
MGYS00001256,SRP064888,PRJNA298960,Modulation of the infant gut microbiota by a starter infant formula containing a synbiotic of bovine milk-derived oligosaccharides and Bifidobacterium animalis subsp. lactis CNCM I-3446,gut,126,root:Host-associated:Human:Digestive system:Large intestine:Fecal,Nestle Research Center,2016-10-07T11:59:46
MGYS00006274,ERP117281,PRJEB34389,The lung microbiota in children with cystic fibrosis captured by induced sputum sampling,respiratory,125,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,CARDIFF UNIVERSITY,2023-09-01T15:25:24
MGYS00000467,ERP000108,PRJEB2054,A human gut microbial gene catalog established by deep metagenomic sequencing (MetaHIT),gut,124,root:Host-associated:Human:Digestive system:Large intestine:Fecal,BGI,2016-01-20T14:12:06
MGYS00005378,SRP056054,PRJNA231909,"A prospective, longitudinal analysis of the developing gut microbiome in infants en route to type 1 diabetes",gut,124,root:Host-associated:Human:Digestive system:Large intestine:Fecal,Broad Institute,2020-05-19T22:40:14
MGYS00005377,ERP114158,PRJEB31588,"EMG produced TPA metagenomics assembly of the PRJNA231909 data set (A prospective, longitudinal analysis of the developing gut microbiome in infants en route to type 1 diabetes).",gut,124,root:Host-associated:Human:Digestive system:Large intestine:Fecal,EMG,2020-05-21T20:49:33
MGYS00003575,ERP108138,PRJEB26165,EMG produced TPA metagenomics assembly of the C.diff FMT (human gut metagenome) data set.,gut,123,root:Host-associated:Human:Digestive system:Large intestine:Fecal,EMG,2024-01-10T13:47:15
MGYS00005336,SRP040146,PRJNA240307,C.diff FMT,gut,123,root:Host-associated:Human:Digestive system:Large intestine:Fecal,Broad Institute,2020-05-15T22:05:06
MGYS00005023,ERP109164,PRJEB27122,EMG produced TPA metagenomics assembly of the The gut microbiome in Crohn's disease and modulation by exclusive enteral nutrition (123CD-metagenomics) data set.,gut,122,root:Host-associated:Human:Digestive system:Large intestine:Fecal,EMG,2024-02-02T22:19:45
MGYS00006525,SRP213919,PRJNA553560,Lung Microbiota of Critically Ill Patients Receiving Mechanical Ventilation,respiratory,122,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,University of Michigan,2023-09-25T23:03:51
MGYS00006252,ERP014594,PRJEB13056,The dynamics of the pulmonary microbiome during mechanical ventilation in the intensive care unit and the association with occurrence of pneumonia.,respiratory,122,root:Host-associated:Human:Respiratory system:Pulmonary system:Trachea,"Academic Medical Center, University of Amsterdam",2023-07-18T11:26:40
MGYS00005702,ERP126051,PRJEB42213,EMG produced TPA metagenomics assembly of PRJNA389280 data set (Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)).,gut,121,root:Host-associated:Human:Digestive system:Large intestine:Fecal,EMG,2021-02-10T20:46:49
MGYS00006460,SRP072219,PRJNA316098,The Bacterial Topography of the Healthy Human Respiratory Tract,respiratory,121,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,mothur,2023-09-11T12:25:19
MGYS00005090,ERP115944,PRJEB33173,EMG produced TPA metagenomics fasta_path of the Longitudinal_Nasopharyngeal_Microbiome_Dynamics_in_Infants_from_the_Maela_ARI_Birth_Cohort (PRJEB25223) data set.,skin,120,root:Host-associated:Human:Skin:Naris,EMG,2019-07-17T14:45:04
MGYS00003478,ERP108251,PRJEB26277,EMG produced TPA metagenomics assembly of the Athlete Microbiome Project (AMP) (human gut metagenome) data set.,gut,120,root:Host-associated:Human:Digestive system:Large intestine:Fecal,EMG,2018-11-16T11:12:01
MGYS00006144,ERP141414,PRJEB56464,"EMG produced TPA metagenomics assembly of PRJNA725899 data set (Metagenomic sequencing of wild rodent colon, cecum and faeces).",gut,120,root:Host-associated:Human:Digestive system:Large intestine,EMG,2023-04-20T19:34:05
MGYS00001168,ERP005184,PRJEB5760,Cervical microbiota analysis,urogenital,120,root:Host-associated:Human:Reproductive system:Vagina,NATIONAL CANCER CENTER (KOREA),2016-07-04T09:29:03
MGYS00006255,ERP020410,PRJEB18478,The Impact of Persistent Bacterial Bronchitis on the Pulmonary Microbiome of Children.,respiratory,119,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,"NATIONAL HEART AND LUNG INSTITUTE, IMPERIAL COLLEGE LONDON",2023-07-20T05:08:12
MGYS00001250,SRP067522,PRJNA306016,Metagenome from fecal samples collect from healty human subject during probiotic intervention trial,gut,118,root:Host-associated:Human:Digestive system:Large intestine:Fecal,University of Turin,2019-11-07T16:53:11
MGYS00006469,SRP096312,PRJNA360332,Longitudinal Sampling of the Lung Microbiota in Individuals with Cystic Fibrosis,respiratory,118,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,McMaster University,2023-09-11T13:51:51
MGYS00006257,ERP051557,PRJEB49208,Three dimensional cartography of microbiome and metabolome data onto radiological images of the human lung,respiratory,118,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,UCSDMI,2023-07-20T06:06:57
MGYS00006367,SRP044029,PRJNA254115,Human BAL Targeted Locus (Loci),respiratory,118,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,University of Colorado,2023-09-02T20:53:47
MGYS00002349,ERP108338,PRJEB26356,sputum from patients with severe asthma who received either placebo or azithromycin for 48 weeks,respiratory,118,root:Host-associated:Human:Respiratory system:Pulmonary system:Sputum,SAHMRI,2018-04-25T09:21:25
MGYS00006484,SRP076183,PRJNA324582,Lung microbiota in the acute respiratory distress syndrome,respiratory,118,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,mothur,2023-09-25T21:09:04
MGYS00006769,ERP147945,PRJEB62825,EMG produced TPA metagenomics assembly of PRJEB21612 data set (Alterations  of the gut microbiome  in hypertension).,gut,117,root:Host-associated:Human:Digestive system:Large intestine:Fecal,EMG,2025-03-14T09:47:51
MGYS00002275,SRP106767,PRJNA386079,Effect of chewing gum on the oral microbiome,oral,117,root:Host-associated:Human:Digestive system:Oral,Queen Mary University of London,2018-03-01T09:10:10
MGYS00005130,ERP112853,PRJEB30401,Gut Microbiome Alterations Drive Distinct Metabolic Expression Patterns in a Cohort of Italian Patients with Parkinson's Disease,gut,115,root:Host-associated:Human:Digestive system:Large intestine:Fecal,University of Cagliari,2019-11-14T18:41:31
MGYS00006518,SRP200040,PRJNA545314,"Lung and gut microbiota are altered by hyperoxia and contribute to oxygen-induced lung injury, part I",respiratory,113,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,University of Michigan,2023-09-25T19:26:50
MGYS00001190,SRP073722,PRJNA317493,Comparison of the fecal microbiota during variable collection and storage methods,gut,112,root:Host-associated:Human:Digestive system:Large intestine:Fecal,University of Michigan,2019-11-07T16:52:51
MGYS00001886,ERP015692,PRJEB14084,The_mechanism_of_nutritional_therapy_for_Paediatric_Crohn_s_disease,gut,111,root:Host-associated:Human:Digestive system:Large intestine:Fecal,SC,2017-07-12T14:46:03
MGYS00002238,SRP097646,PRJNA362687,Oral microbial changes in ASD children,oral,111,root:Host-associated:Human:Digestive system:Oral,Tongji University,2024-05-02T19:59:51
MGYS00006032,ERP135873,PRJEB51261,COVID-19 asthma microbiome,respiratory,111,root:Host-associated:Human:Respiratory system:Nasopharyngeal,WASHINGTON UNIVERSITY IN ST. LOUIS SCHOOL OF MEDICINE,2022-07-07T23:53:27
MGYS00002081,ERP105282,PRJEB23524,WGS data from FMT trial for the treatment of recurrent Clostridium difficile infection,gut,110,root:Host-associated:Human:Digestive system:Large intestine:Fecal,MIT,2017-12-13T09:21:01
MGYS00002417,ERP106618,PRJEB24766,"EMG produced TPA metagenomics assembly of the Reproducibility of associations between the human gut microbiome and colorectal cancer assessed in a patient population from Washington, DC, USA (Colorectal cancer and the human gut microbiome) data set.",gut,110,root:Host-associated:Human:Digestive system:Large intestine:Fecal,EMBL-EBI,2018-06-13T10:59:38
MGYS00005399,ERP116584,PRJEB33766,EMG produced TPA metagenomics assembly of the PRJNA485056 data set (Metagenomic sequencing of stool samples from rural communities from north-eastern Madagascar).,gut,110,root:Host-associated:Human:Digestive system:Large intestine:Fecal,EMG,2020-05-22T00:23:56
MGYS00006083,ERP113262,PRJEB30781,N/A,respiratory,109,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,"UNIVERSITY OF EAST ANGLIA, UK",2022-11-22T01:28:50
MGYS00005400,SRP156699,PRJNA485056,Metagenomic sequencing of stool samples from rural communities from north-eastern Madagascar,gut,109,root:Host-associated:Human:Digestive system:Large intestine:Fecal,University of Trento,2020-05-21T22:09:44
MGYS00005135,ERP005151,PRJEB5727,Flores_palm_EBI,skin,109,root:Host-associated:Human:Skin,CCME-COLORADO,2019-11-27T16:26:54
MGYS00006789,ERP148573,PRJEB63406,EMG produced TPA metagenomics assembly of PRJDB10829 data set (Generic sample from human gut metagenome).,gut,108,root:Host-associated:Human:Digestive system:Large intestine:Fecal,EMG,2025-03-21T00:37:42
MGYS00006567,ERP139818,PRJEB54956,EMG produced TPA metagenomics assembly of PRJEB40358 data set (Dysbiotic Lesional Microbiome with Filaggrin Missense Variants Associate with Atopic Dermatitis in India).,skin,108,root:Host-associated:Human:Skin,EMG,2024-01-11T11:37:02
MGYS00006787,ERP160127,PRJEB75549,EMG produced TPA metagenomics assembly of PRJNA893406 data set (human gut metagenome Raw sequence reads).,gut,108,root:Host-associated:Human:Digestive system:Large intestine:Fecal,EMG,2025-03-19T11:45:33
MGYS00006496,SRP122946,PRJNA415608,16S sequencing from human airway sites Raw sequence reads,respiratory,106,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,Minneapolis VA,2023-09-25T21:10:40
MGYS00006016,SRP307447,PRJNA703303,The gut microbiome 16s rDNA sequencing data of patients with COVID-19,gut,106,root:Host-associated:Human:Digestive system:Large intestine:Fecal,Zhejiang University,2022-05-13T16:48:31
MGYS00005037,SRP056821,PRJNA277905,Human Skin Microbiome Metagenome,skin,106,root:Host-associated:Human:Skin,Genome Institute of Singapore,2019-11-07T16:56:12
MGYS00002207,ERP106702,PRJEB24843,The intestinal microbiota predisposes to the occurrence of traveller's diarrhoea and to the carriage of multidrug-resistant Enterobacteriaceae after travelling to tropical regions.,gut,104,root:Host-associated:Human:Digestive system:Large intestine:Fecal,GUH,2018-02-14T10:32:15
MGYS00003441,SRP125313,PRJNA419097,human stool bacteria 16s rDNA v4 region sequencing,gut,104,root:Host-associated:Human:Digestive system:Large intestine:Fecal,The chinese university of Hong Kong,2019-11-07T16:53:25
MGYS00002233,SRP112540,PRJNA394711,Microbiome of Oral Leukoplakia,oral,103,root:Host-associated:Human:Digestive system:Oral,Trinity College Dublin,2019-11-07T16:54:23
MGYS00006391,SRP342537,PRJNA773392,Lung microbiome in non-small cell lung cancer,respiratory,103,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,Albert Einstein College of Medicine,2023-09-03T01:16:52
MGYS00006347,SRP273063,PRJNA647539,Microbiome of human lungs with aspergillosis infection,respiratory,103,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,Barcelona Supercomputing Center,2023-09-02T01:38:40
MGYS00003511,ERP108955,PRJEB26924,EMG produced TPA metagenomics assembly of the Integrated metabolomics and metagenomics analysis of plasma and urine identified microbial metabolites associated with coronary heart disease (CHD102-metagenomics) data set.,gut,102,root:Host-associated:Human:Digestive system:Large intestine:Fecal,EMG,2024-01-17T01:24:56
MGYS00006559,SRP331280,PRJNA752174,Influence of gut microbiota on short-term low carbohydrate diet intervention for weight loss therapy,gut,102,root:Host-associated:Human:Digestive system:Large intestine:Fecal,"Institute of Microbiology, GuangdongAcademy of Sciences",2023-12-21T11:28:40
MGYS00006502,SRP136124,PRJNA439311,MEU Manchester lung microbiome,respiratory,102,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,GlaxoSmithKline R&D,2023-09-25T15:49:48
MGYS00006790,ERP115080,PRJEB32399,Enrichment of the airway microbiome in people living with HIV with potential pathogenic bacteria despite antiretroviral therapy,respiratory,102,root:Host-associated:Human:Respiratory system,UCL Centre for Clinical Microbiology,2025-03-25T11:55:14
MGYS00005341,ERP016813,PRJEB15111,Integrated metabolomics and metagenomics analysis of plasma and urine identified microbial metabolites associated with coronary heart disease,gut,102,root:Host-associated:Human:Digestive system:Large intestine:Fecal,BGI,2020-05-17T10:03:25
MGYS00002224,SRP077982,PRJNA324274,human oral metagenome Raw sequence reads,oral,101,root:Host-associated:Human:Digestive system:Oral:Subgingival plaque,Universidade de Sao Paulo,2019-11-07T16:55:42
MGYS00006351,SRP285044,PRJNA665109,NEOSTAR Study: Non-small cell lung cancer treated with nivolumab or nivolumab plus ipilimumab,gut,101,root:Host-associated:Human:Digestive system:Large intestine:Fecal,MD Anderson Cancer Center,2023-09-02T02:51:50
MGYS00005098,SRP133226,PRJNA435265,Isolation and Identification of the Follicular Microbiome: Implications for Acne Research,skin,101,root:Host-associated:Human:Skin,Mount Sinai,2019-11-07T16:56:14
MGYS00006447,SRP389751,PRJNA865783,Lung Microbiota in Lung Transplant Recipients at CLAD Onset,respiratory,100,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,University of Michigan,2023-09-05T14:03:32
MGYS00006224,ERP137596,PRJEB52848,"The effect of nutritional intervention with lactoferrin, galactooligosacharides and vitamin D on the gut microbiota composition of healthy elderly women",gut,100,root:Host-associated:Human:Digestive system:Large intestine:Fecal,"WAGENINGEN UNIVERSITY, LABORATORY OF MICROBIOLOGY",2023-12-21T12:34:37
MGYS00002229,SRP051201,PRJNA269205,Human oral subgingival communities,oral,100,root:Host-associated:Human:Digestive system:Oral:Subgingival plaque,University of Florida,2019-11-07T16:55:44
MGYS00005591,ERP122744,PRJEB39250,Strongyle Infection and Gut Microbiota: Profiling of Resistant and Susceptible Horses Over a Grazing Season,gut,100,root:Host-associated:Human:Digestive system:Large intestine:Fecal,VETERINARY Faculty,2020-08-20T17:46:41
MGYS00006076,ERP140519,PRJEB55607,The effect of dietary bioactive on gut microbiome diversity (DIME) – a pilot study,gut,100,root:Host-associated:Human:Digestive system:Large intestine:Fecal,Quadram Institute Bioscience,2022-11-17T12:07:38
MGYS00006383,SRP331217,PRJNA752240,bacterial community diversity,respiratory,100,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,Beijing Chest Hospital,2023-09-02T23:48:15
MGYS00006811,ERP147961,PRJEB62839,EMG produced TPA metagenomics assembly of PRJEB52748 data set (Gut microbiome function and composition in infants from rural Kenya and association with human milk oligosaccharides).,gut,98,root:Host-associated:Human:Digestive system:Large intestine:Fecal,EMG,2025-05-30T22:05:05
MGYS00006464,SRP080867,PRJNA327258,sequencing for human-associated microbes by 16S rRNA gene Raw sequence reads,respiratory,97,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,National Cancer Institute,2023-09-11T12:50:17
MGYS00002411,ERP106357,PRJEB24527,EMG produced TPA metagenomics assembly of the human gut Metagenome (human gut metagenome) data set.,gut,97,root:Host-associated:Human:Digestive system:Large intestine:Fecal,EMBL-EBI,2018-06-12T16:26:26
MGYS00001295,ERP018577,PRJEB16723,Human skin bacterial and fungal microbiotas analyses,skin,96,root:Host-associated:Human:Skin,Universidade Federal do ABC,2020-03-13T13:24:24
MGYS00002139,ERP106237,PRJEB24411,DNA isolation and sampling kits comparison,gut,96,root:Host-associated:Human:Digestive system:Large intestine:Fecal,MASARYK UNIVERSITY,2018-01-22T09:08:29
MGYS00002210,ERP004294,PRJEB4953,"This study develops a framework for exploiting the oral microbiome for monitoring oral cancer development, progression and recurrence.",oral,96,root:Host-associated:Human:Digestive system:Oral,SECONDGENOME,2018-02-14T11:16:30
